🍂 文系大学生による『Python再定義辞書』― システム操作 編 ―,
,
著： 岡野 菜月 ( 四国大学文学部 / 28卒 ),
GitHub： https://github.com/NatsukiOkano,
,
📝 資料の概要,
 ＊ 書籍「Python 実践データ分析100本ノック 第3版」( 秀和システム新社刊 ) の学習過程を記録したものです。 ,
 ＊ 最大の特徴は、「文学部の視点でIT・データ分析を再解釈する」という試みにあります。,
 ＊ 非情報系の学習者が直面する「専門用語の壁」を取り払うため、すべての処理に対し、論理的かつ直感的な「完全独自解説」を記述しています。,
,
📚 教材,
下山輝昌・松田雄馬・三木孝行 著「Python 実践データ分析100本ノック 第3版」( 秀和システム新社、2025 ),
,
,
📂 os,
,
ファイル・パス操作,
コード,定義
os.getcwd(),現在、作業中のパスを取得する。
,※ パス（path）： 端末内のファイルやフォルダの場所を特定するための文字列。
os.path.exists(),取得したパスが存在するか、確認する。
os.listdir(),取得したパスに格納される、フォルダやファイルをリストにする。
os.listdir('/content'),「'/content'」に格納される、フォルダやファイルをリストにする。
,※ Google Colabのパスは、「'/content'」から始まる。
,
,
👤 subprocess,
,
OSでのアプリ操作,
コード,定義
"subprocess.Popen(['サーバ', 'serve'])",サーバ（24時間、実行待機するプログラム）をOSのバックグラウンドで操作する。
"subprocess.Popen(['サーバ', 'run', '対象モデル'])",サーバの対象モデルをOSのバックグラウンドで操作する。
,"※ 'serve', 'run'：操作するために与えられたアプリ「Ollama」独自の引数。"
,
,
🕰️ time,
,
時間操作,
コード,定義
time.sleep(),プログラムを()秒間、一時停止する。
,
,
📅 dateutil,
,
日付計算,
コード,定義
クラス（relativedelta）,日付計算AI。実際に日付計算を行う正体。
引数「years」,年。クラス（relativedelta）に格納。
引数「months」,月。クラス（relativedelta）に格納。
,
,
📩 json,
,
データ構造変換,
コード,定義
json.loads(),文字列を辞書に変換する。
,
,
❇️ google.colab,
,
cv2,
コード,定義
cv2_imshow(),Colab専用画像表示。Google Colabのノートブック内に直接画像を表示する専用ツール。
cv2_imshow(変数),読み込んだ画像ファイルをGoogle Colabのノートブック内に直接画像を表示する。
※ cv.imshow(),OpenCV公式画像表示。Google Colabの環境では動かない。
,
,
⚙️ OS環境操作 ※ ライブラリに属さない。,
,
OS外部ライブラリ・ソフトウェア導入,
コード,定義
 !pip install ライブラリ,外部のライブラリをインストールして、端末内で実行待機させる。
!,OSに直接実行命令をする。ノートブック形式のプラットフォーム共通の記号。
Pythonライブラリ自動導入（pip）,Pythonライブラリを端末に自動でインストールするためのシステム。
install,インストールを開始して、自分の端末内で実行待機させる。
,※「!pip install」だけではプログラムで使えない。「import」する必要がある。
最新版にアップデート（-U）,ライブラリのバージョン（開発番号）を自動で最新版にアップデート。
!sudo apt-get install zstd,
Linuxセキュリティ管理（sudo）,Linuxのセキュリティシステムの権限を一時的に操作する。
Linux専用ソフト自動導入（apt-get）,Linux専用ソフトをOSがLinuxの端末に自動でインストールするためのシステム。
zstd,データを圧縮 / 解凍する。
!curl -fsSL https://ollama.com/install.sh | sh,手動での実行手順を全て省略して、OllamaをOSにインストールする。
curl,インターネットから、指定のURLを探す。
-fsSL,curlの詳細設定。
「-f」,失敗したときは実行停止。（fail： 失敗）
「-s」,進捗状況を表示しない。（silent： 静かに）
「-S」,失敗したときは原因を表示する。（show error： エラー表示）
「-L」,URLが変更されたとき、自動で変更先のURLを探す。（lacation： 場所）
https://ollama.com/install.sh,パブリックURL。インターネットから探す指定のURL。
「 | 」（パイプ）,"実行手順（手動での一時保存, 移動, 実行, 削除）を省略するための記号。"
sh,OSへの実行命令を開始する。
,
OSでの外部アプリ起動・操作,
コード,定義
!nohup ollama serve &,Ollamaを画面を閉じてもOSのバックグラウンドで24時間実行待機するサーバとして機能させる。
nohup,画面を閉じても、実行を続ける。
ollama serve,プラットフォーム（Ollama）をサーバ（serve）として機能させる。
&,バックグラウンド（裏側）で操作する記号。
!ollama pull llama3.2,OSへの実行命令。「Ollama」で「llama3.2」をダウンロードする。
pull,ダウンロードする。
プラットフォーム（Ollama）,ローカルLLMを機能させるための実行環境（プラットフォーム）を提供。
llama3.2,ローカルLLMの標準。Facebookを運営するMeta社（アメリカ）が開発したLLM。
,
,
🛡️ プラットフォーム設定 ※ ライブラリに属さない。,
　,
"マジックコマンド（ %, %% ）※ プログラムの外側の設定を変更する、Google Colab専用プログラム。",
コード,定義
%（ラインマジック）,その一行だけに効く命令。
%%（セルマジック）,そのセル全体に効く命令。
＊ よく使うマジックコマンド ＊,「%matplotlib inline」グラフをノートブック内に直接表示する。
,「%timeit」その行のコードの実行速度を計測する。
,「%pwd」現在のフォルダにあるファイル一覧を表示する。
,「%run」外部のPythonファイルをノートブック上で実行する。
